feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target_0,target_1,target_2,sample_id
0.9855755,-0.43529877,-0.5633735,0.90479827,0.06573388,0.47730008,-0.119222514,-0.021041775,-0.04311778,0.029340753,-0.20030308,0.015555717,0.15950543,-0.637408,-0.38738373,-0.48597926,2.0,-1.0140079,2.8734667,2.0,-1.0140079,21
1.2726766,0.071982354,-0.9339051,-2.6486535,0.32010388,0.8246575,-0.8496155,-1.7585832,-0.43471158,-0.5013209,-0.82766086,0.05529542,-0.5535251,-0.5776664,0.35719073,-0.29083103,3.0,-1.0140079,2.3498812,3.0,-1.0140079,22
0.63533956,-0.058189943,-0.6002786,0.4279619,-0.74775237,-0.47445977,-0.13703218,0.24270883,-0.41852608,-0.46388233,-0.5270278,0.20687328,-0.5267289,-0.14496036,-0.43986422,-0.42814806,4.0,-1.0140079,2.2095435,4.0,-1.0140079,23
-0.8630335,-0.82307523,-0.5822401,0.34369513,-1.3138564,-1.6322216,-0.728724,0.78090256,-0.47166502,4.2367125,-0.87272733,0.3672215,-0.23978455,-0.6216215,0.062042292,-0.37424457,5.0,-1.0140079,1.3957753,5.0,-1.0140079,24
-0.32792607,-0.18697065,-0.6507636,-0.048768017,-0.2722824,-0.39137694,-0.5033081,0.4249678,-0.5353939,0.8143432,-0.657423,-0.4105704,-0.6305191,-0.5243783,-0.15046208,-0.24043009,6.0,-1.0140079,0.9561831,6.0,-1.0140079,25
-0.29707313,0.23669523,-0.42305163,-0.75844747,0.0679262,0.042431094,-0.29473737,0.46173492,0.25907764,-0.19118455,-0.34915483,0.9351319,0.22006863,-0.107936814,-0.64424217,-0.2582449,7.0,-1.0140079,3.1957824,7.0,-1.0140079,26
0.10190683,-0.23360075,0.20555551,-0.73664635,1.8954422,0.726649,0.8667066,-0.09533958,1.1986612,-0.68899685,1.2663637,0.438069,1.3750634,-0.49973756,1.1093283,-0.14138769,8.0,-1.0140079,5.0066686,8.0,-1.0140079,27
0.29761788,-0.82496506,-0.56363595,-0.2544629,0.43912593,0.33524054,-0.40862873,0.15415932,-0.99429935,1.3964527,-0.744578,-0.84319574,-0.9203029,1.098609,-0.76896644,-0.5650617,9.0,-1.0140079,-0.0045475424,9.0,-1.0140079,28
-0.5323044,-0.30022362,-0.7762639,1.8508745,-1.3689173,-1.3633221,-0.19098699,1.0290082,-1.183621,-0.8001049,0.078303434,0.010084162,-1.4060754,2.5655305,-0.78043026,0.013714876,10.0,-1.0140079,0.29620552,10.0,-1.0140079,29
1.1775174,0.79167217,-0.4909316,-0.4171099,-0.6042168,-0.13275327,-0.41041493,-0.25570607,0.18095842,-0.9225653,-0.40678045,0.17998104,-0.10280758,-0.43561813,-0.5162572,0.3492336,11.0,-1.0140079,3.2024539,11.0,-1.0140079,30
0.2000638,0.14629912,-0.16420986,1.2970189,0.7945559,0.85920906,0.5641111,0.624021,-0.04450885,-0.5030117,0.4898421,0.044016533,-0.10926098,-0.53189206,-0.72671264,-0.10343065,12.0,-1.0140079,2.5037634,12.0,-1.0140079,31
-3.3522794,-0.4338932,-0.51480407,0.34997505,-0.106624626,-0.5667296,-0.59445757,0.11940003,-0.77981687,0.12426566,-0.5044014,-0.8791983,-0.8303913,-0.65154564,1.8794212,0.012107011,13.0,-1.0140079,1.4233954,13.0,-1.0140079,32
0.527501,0.6861754,-0.48988324,0.6527994,-1.6762027,-1.2697604,-0.53469443,1.2616525,0.5881057,0.5044484,-0.8057591,1.8287461,0.45051396,-0.528065,0.10762956,-0.10218724,14.0,-1.0140079,3.8369584,14.0,-1.0140079,33
0.22727011,-1.4367932,0.51311713,-0.9132363,-0.8707647,-0.7966973,1.4429799,-1.851578,-0.57294357,-0.42064682,1.7331593,-0.8273233,-0.06894931,-0.65198064,-0.8405429,-0.38919097,15.0,-1.0140079,0.7362672,15.0,-1.0140079,34
0.9410217,3.351624,-0.21067299,-1.6535631,1.6711386,2.1216757,-1.298349,0.7497454,3.3569598,-0.24746318,-0.09257981,1.0590844,2.3283267,-0.6756498,3.4122016,4.857327,16.0,-1.0140079,4.0276513,16.0,-1.0140079,35
-0.22590515,0.41567668,0.71785897,1.1423088,1.4256713,1.0332743,1.4146708,-0.43616953,0.4646966,0.7244906,2.0701184,0.5266968,0.40582508,-0.5514197,-0.39325356,-0.42817315,17.0,-1.0140079,4.9397154,17.0,-1.0140079,36
